수집날짜,발행날짜,브랜드명,함께노출된브랜드,기사제목,링크,출처,미디어명,타입,비고
2026-04-01,2026-03-31,Van Cleef & Arpels,,"잠실을 아름답게 물들인 반클리프 아펠(@vancleefarpels)의 ‘스프링 이즈 블루밍’에 다녀왔습니다. 프랑스 아티스트 샬롯 가스토의 시선으로 완성된 정원은, 봄을 향한 찬란한 찬사를 고스란히 담고 있어요. 행사 기간 동안 주말에 열리는 나만의 봄꽃 화관, 정원을 직접 - instagram.com",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1VN1Q1angyMXpYTGo5cnpzejNXS1FBWG9Od0tLSy1sdXBOM1EtLWlycUQzUXBBSExTMk1WYU1nNWIwZ3V2bXBQSHhiVk1vcm1VRVczZzdB?oc=5,Instagram @global:반클리프,SNS,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,"잠실을 아름답게 물들인 반클리프 아펠(@vancleefarpels)의 ‘스프링 이즈 블루밍’에 다녀왔습니다. 프랑스 아티스트 샬롯 가스토의 시선으로 완성된 정원은, 봄을 향한 찬란한 찬사를 고스란히 담고 있어요. 행사 기간 동안 주말에 열리는 나만의 봄꽃 화관, 정원을 직접 - instagram.com",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1VN1Q1angyMXpYTGo5cnpzejNXS1FBWG9Od0tLSy1sdXBOM1EtLWlycUQzUXBBSExTMk1WYU1nNWIwZ3V2bXBQSHhiVk1vcm1VRVczZzdB?oc=5,Instagram @global:반클리프,SNS,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,젊은 세대는 왜 빈티지 주얼리에 열광할까?,https://www.vogue.co.kr/2026/03/31/%ec%a0%8a%ec%9d%80-%ec%84%b8%eb%8c%80%eb%8a%94-%ec%99%9c-%eb%b9%88%ed%8b%b0%ec%a7%80-%ec%a3%bc%ec%96%bc%eb%a6%ac%ec%97%90-%ec%97%b4%ea%b4%91%ed%95%a0%ea%b9%8c/?utm_source=naver&utm_medium=partnership,Naver News,TGD,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,젊은 세대는 왜 빈티지 주얼리에 열광할까?,https://www.vogue.co.kr/2026/03/31/%ec%a0%8a%ec%9d%80-%ec%84%b8%eb%8c%80%eb%8a%94-%ec%99%9c-%eb%b9%88%ed%8b%b0%ec%a7%80-%ec%a3%bc%ec%96%bc%eb%a6%ac%ec%97%90-%ec%97%b4%ea%b4%91%ed%95%a0%ea%b9%8c/?utm_source=naver&utm_medium=partnership,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,젊은 세대는 왜 빈티지 주얼리에 열광할까?,https://www.vogue.co.kr/2026/03/31/%ec%a0%8a%ec%9d%80-%ec%84%b8%eb%8c%80%eb%8a%94-%ec%99%9c-%eb%b9%88%ed%8b%b0%ec%a7%80-%ec%a3%bc%ec%96%bc%eb%a6%ac%ec%97%90-%ec%97%b4%ea%b4%91%ed%95%a0%ea%b9%8c/?utm_source=naver&utm_medium=partnership,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,주식으로 700억 번 '김건희 목걸이' 서희건설이 찍은 주식은?,https://realty.chosun.com/site/data/html_dir/2026/03/30/2026033003485.html,Naver News,TGD,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,주식으로 700억 번 '김건희 목걸이' 서희건설이 찍은 주식은?,https://realty.chosun.com/site/data/html_dir/2026/03/30/2026033003485.html,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,주식으로 700억 번 '김건희 목걸이' 서희건설이 찍은 주식은?,https://realty.chosun.com/site/data/html_dir/2026/03/30/2026033003485.html,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,"퍼스널 컬러로 찾는 워치와 주얼리, 피부톤에 어울리는 컬러스톤 가이드",https://www.marieclairekorea.com/fashion/2026/03/personalcolor-watch-jewelry/?utm_source=naver&utm_medium=partnership,Naver News,TGD,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,"퍼스널 컬러로 찾는 워치와 주얼리, 피부톤에 어울리는 컬러스톤 가이드",https://www.marieclairekorea.com/fashion/2026/03/personalcolor-watch-jewelry/?utm_source=naver&utm_medium=partnership,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,호텔 프러포즈부터 '추가금 지옥'까지…소비경쟁시대의 'K-웨딩',https://www.yna.co.kr/view/AKR20260330143900005?input=1195m,Naver News,TGD,,
2026-04-01,2026-03-31,Van Cleef & Arpels,,호텔 프러포즈부터 '추가금 지옥'까지…소비경쟁시대의 'K-웨딩',https://www.yna.co.kr/view/AKR20260330143900005?input=1195m,Naver News,TGD,URL중복,
2026-04-01,2026-03-31,Van Cleef & Arpels,,호텔 프러포즈부터 '추가금 지옥'까지…소비경쟁시대의 'K-웨딩',https://www.yna.co.kr/view/AKR20260330143900005?input=1195m,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"&quot;인플루언서 발굴&quot;… 롯데백화점, '앰배서더 1기' 모집",http://woman.chosun.com/news/articleView.html?idxno=125388,Naver News,TGD,,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"&quot;인플루언서 발굴&quot;… 롯데백화점, '앰배서더 1기' 모집",http://woman.chosun.com/news/articleView.html?idxno=125388,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"&quot;인플루언서 발굴&quot;… 롯데백화점, '앰배서더 1기' 모집",http://woman.chosun.com/news/articleView.html?idxno=125388,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,[Style] Just One More Piece…작고 반짝이는 특별한 데일리템,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00013&news_seq_no=5184969,Naver News,TGD,,
2026-04-01,2026-03-30,Van Cleef & Arpels,,[Style] Just One More Piece…작고 반짝이는 특별한 데일리템,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00013&news_seq_no=5184969,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,[Style] Just One More Piece…작고 반짝이는 특별한 데일리템,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00013&news_seq_no=5184969,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, '스프링 이즈...",https://www.handmk.com/news/articleView.html?idxno=36786,Naver News,TGD,,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, '스프링 이즈...",https://www.handmk.com/news/articleView.html?idxno=36786,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, '스프링 이즈...",https://www.handmk.com/news/articleView.html?idxno=36786,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, '스프링 이즈...",https://www.handmk.com/news/articleView.html?idxno=36786,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, '스프링 이즈...",https://www.handmk.com/news/articleView.html?idxno=36786,Naver News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"[현장스케치] 봄이 피어나는 순간을 반클리프 아펠과 함께, ‘스프링 이즈 블루밍(Spring is Blooming)’ - handmk.com",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9jbER6LVhWYWpYb3FmcUdFaV9mX09OaTFTaTcxTnItN2ZEcEVyYjN5SjRWbkk1T3JvUFpncnIwRkVBU012RnRhZU1ELWVkYkFCQ1NubWc2ZTJFS3poa0FmTFJzQmRvdlk?oc=5,Google News,TGD,URL중복,
2026-04-01,2026-03-30,Van Cleef & Arpels,,"올봄, 생기를 더해줄 네크리스 열전 [더 하이엔드]",https://www.joongang.co.kr/article/25415854,Naver News,TGD,,
