수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,프리뷰,"파죽지세' 이정효의 수원, 충북청주 상대로 6연승 도전...K리그2 6라운드 프리뷰 - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9TdXZDMmlhdTZXZnNSbWd1SDZGanJyZmdnb05fdk9tc1NrcDY0THRKcGlWYnlIU2ZjeTNjZFZ1X3B5VTRwcGpBVTl2eXB2Ulk?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,2년 연속 대한항공과 챔프전에서 만난 현대캐피탈 ‘명장’ 블랑의 디스? “외국인 교체가 잦은 대한항공의 배구는 ‘화수분 배구’ 같아” [인천 CH 1차전 프리뷰] - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE94ZGdwOTVKWm5yUl9RRnZ0cVVucEcyYzlBOVg4dGN1X0hhN0VnNHdlaE1fb0llVGd0Q240aEg5SjFFaHVyNkE?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,"[BK 프리뷰] ‘홈 최종전’ 한국가스공사, 천적 소노 넘고 유종의 미 거둘까? - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE5mTXhIaFZ5UkNGQ1dMUzFRZFM0ZEtwaGhJZ2hWUnpqaHV5NmQyR0lTd2UtY05KM0VFOU1UUlN1WGFUcVFWVEE?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,[H리그 프리뷰] 4위 쟁탈전부터 미리 보는 챔프전까지… 삼척을 달굴 남자부 3연전 - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9aMGdNNHZqVVljNXEzOE5MQnpiXzM3N1lpRHRQa2hla1FyU0REd01xTEQ5R293ZjZtR2wwenN0YVV0SDBwVHc?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,[JB프리뷰] ‘10연승 끊긴 후 첫 경기’ 소노는 창단 첫 특정 팀 전승을 만들 수 있을까? - v.daum.net,https://news.google.com/rss/articles/CBMiRkFVX3lxTFBwU3N5MmNZR0FJQnJ2aHhHMmJoaThuZWVHTUFwcTRQazZGTDY3VGNwT25hbWQ0VFd3Nm94Vk96LUZVTDhObmc?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,[JB프리뷰] ‘10연승 끊긴 후 첫 경기’ 소노는 창단 첫 특정 팀 전승을 만들 수 있을까? - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5HUC1ZRlk0em9Cd24zU1JOQmkwQUtESy1uS25CSDhIV3VYMGUzX0pvaTJ6cjFlTm5WTHFNTTFCbEN5Q2k3ZWMtTml6WGJzelU?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,"[STN@프리뷰] 대한항공 vs 현대캐피탈, 그 어느 때보다 뜨거운 맞대결 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE5nSk1rVzU4bHpnUTh6d0lLUlJrd2ZVR2JkNzNLbnplMjNVMGhDZ2hwdTNXUGh5czlfZWc3RzdlMmQxcXRrYnc?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,"[STN@프리뷰] 왕좌 탈환의 해결사 될까...마쏘, 챔프전서 운명의 데뷔전 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE5HMUxaMnNMUzFfaFlmRlhfOFFrWG1yWHJMR1NkTW95NFZQQjc2dkNEc2xyVGR2TURuSmhRTS1ZVTRIdTI2Wmc?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,"대한항공 ‘브라질 명장’ 헤난 “마쏘는 미들 블로커로 쓴다… 정규리그 1,2위팀이 챔프전하는 게 정당해” [인천 CH 1차전 프리뷰] - v.daum.net",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1IWm5MNTFxeFFfbU5Ndk1xTWU2M3FWUUN6bjZxZXNTYjNZMUpZblRKSXN4aXJjcDdFcmNDLThnQVRpa2F1UXNDX0J6cm9TZTA?oc=5,v.daum.net,Portal,
2026-04-02,2026-04-02,프리뷰,라이벌 매치 한가득! 안양VS서울부터 '현대가 더비'까지...K리그1 6라운드 프리뷰 - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5yNVBWaEVwQWFYZFJSNlY0NHZLZWNNeFZDYTY2ZmdFb19UZkdhT25yOVNnX0t3OGFMR0Z4RFFmSjM4TTJqYllybXA0SUdtVWc?oc=5,v.daum.net,Portal,
